0°
Ax: 0.99 | Ay: -0.00 | Az: 0.21
Ax: 0.98 | Ay: 0.00 | Az: 0.20
Ax: 0.98 | Ay: -0.01 | Az: 0.21
Ax: 0.98 | Ay: -0.00 | Az: 0.21
Ax: 0.98 | Ay: -0.01 | Az: 0.21

90° em x
Ax: 1.00 | Ay: 0.03 | Az: 0.05
Ax: 1.01 | Ay: 0.03 | Az: 0.04
Ax: 1.01 | Ay: 0.03 | Az: 0.04
Ax: 1.01 | Ay: 0.03 | Az: 0.04
Ax: 1.01 | Ay: 0.03 | Az: 0.05
Ax: 1.01 | Ay: 0.03 | Az: 0.05
Ax: 1.01 | Ay: 0.03 | Az: 0.03
Ax: 1.01 | Ay: 0.04 | Az: 0.04
Ax: 1.01 | Ay: 0.04 | Az: 0.05
Ax: 1.01 | Ay: 0.03 | Az: 0.04
Ax: 1.01 | Ay: 0.04 | Az: 0.04
Ax: 1.01 | Ay: 0.03 | Az: 0.05
Ax: 1.01 | Ay: 0.03 | Az: 0.05
Ax: 1.00 | Ay: 0.03 | Az: 0.04
