Ângulo 0°
Ax: 0.52 | Ay: -0.07 | Az: 0.82
Ax: 0.52 | Ay: -0.06 | Az: 0.80
Ax: 0.52 | Ay: -0.06 | Az: 0.80
Ax: 0.51 | Ay: -0.06 | Az: 0.82
Ax: 0.51 | Ay: -0.07 | Az: 0.80
Ax: 0.52 | Ay: -0.07 | Az: 0.81
Ax: 0.52 | Ay: -0.06 | Az: 0.81
Ax: 0.52 | Ay: -0.06 | Az: 0.81
Ax: 0.52 | Ay: -0.06 | Az: 0.81
Ax: 0.52 | Ay: -0.07 | Az: 0.81
Ax: 0.51 | Ay: -0.06 | Az: 0.80
Ax: 0.52 | Ay: -0.04 | Az: 0.81
Ax: 0.52 | Ay: -0.05 | Az: 0.81
Ax: 0.52 | Ay: -0.07 | Az: 0.80
Ax: 0.52 | Ay: -0.08 | Az: 0.80
Ax: 0.51 | Ay: -0.07 | Az: 0.81
Ax: 0.52 | Ay: -0.06 | Az: 0.80
Ax: 0.52 | Ay: -0.05 | Az: 0.81
Ax: 0.52 | Ay: -0.07 | Az: 0.81
Ax: 0.52 | Ay: -0.07 | Az: 0.81
Ax: 0.51 | Ay: -0.07 | Az: 0.81
Ax: 0.51 | Ay: -0.07 | Az: 0.80
Ax: 0.52 | Ay: -0.07 | Az: 0.80
Ax: 0.52 | Ay: -0.06 | Az: 0.81
Ax: 0.51 | Ay: -0.06 | Az: 0.80
Ax: 0.52 | Ay: -0.06 | Az: 0.81
Ax: 0.52 | Ay: -0.07 | Az: 0.82
Ax: 0.52 | Ay: -0.07 | Az: 0.81
Ax: 0.52 | Ay: -0.07 | Az: 0.81
Ax: 0.51 | Ay: -0.06 | Az: 0.81

40° em x
Ax: 0.65 | Ay: 0.00 | Az: 0.72
Ax: 0.66 | Ay: 0.01 | Az: 0.72
Ax: 0.65 | Ay: -0.01 | Az: 0.73
Ax: 0.66 | Ay: 0.01 | Az: 0.73
Ax: 0.65 | Ay: 0.01 | Az: 0.71
Ax: 0.66 | Ay: 0.00 | Az: 0.71
Ax: 0.65 | Ay: 0.01 | Az: 0.72
Ax: 0.66 | Ay: 0.01 | Az: 0.71
Ax: 0.65 | Ay: 0.01 | Az: 0.71
Ax: 0.65 | Ay: 0.00 | Az: 0.72
Ax: 0.66 | Ay: 0.00 | Az: 0.71
Ax: 0.65 | Ay: 0.00 | Az: 0.71
Ax: 0.66 | Ay: 0.00 | Az: 0.72

Ângulo 45° em x
Ax: 0.69 | Ay: -0.04 | Az: 0.69
Ax: 0.68 | Ay: -0.04 | Az: 0.69
Ax: 0.70 | Ay: -0.03 | Az: 0.68
Ax: 0.71 | Ay: -0.04 | Az: 0.67
Ax: 0.69 | Ay: -0.04 | Az: 0.68
Ax: 0.69 | Ay: -0.02 | Az: 0.69
Ax: 0.70 | Ay: -0.03 | Az: 0.67
Ax: 0.70 | Ay: -0.04 | Az: 0.69
Ax: 0.69 | Ay: -0.03 | Az: 0.68
Ax: 0.70 | Ay: -0.03 | Az: 0.69
Ax: 0.69 | Ay: -0.04 | Az: 0.68
Ax: 0.70 | Ay: -0.06 | Az: 0.65
Ax: 0.70 | Ay: -0.04 | Az: 0.67
Ax: 0.70 | Ay: -0.03 | Az: 0.69
Ax: 0.70 | Ay: -0.03 | Az: 0.69
Ax: 0.70 | Ay: -0.05 | Az: 0.68
Ax: 0.70 | Ay: -0.03 | Az: 0.69
Ax: 0.70 | Ay: -0.03 | Az: 0.67
Ax: 0.71 | Ay: -0.04 | Az: 0.68
Ax: 0.68 | Ay: -0.05 | Az: 0.67
Ax: 0.71 | Ay: -0.03 | Az: 0.67
Ax: 0.70 | Ay: -0.03 | Az: 0.68
Ax: 0.70 | Ay: -0.04 | Az: 0.69
Ax: 0.71 | Ay: -0.03 | Az: 0.68
Ax: 0.69 | Ay: -0.04 | Az: 0.69
Ax: 0.70 | Ay: -0.03 | Az: 0.67
Ax: 0.70 | Ay: -0.03 | Az: 0.67
Ax: 0.69 | Ay: -0.05 | Az: 0.69
Ax: 0.70 | Ay: -0.04 | Az: 0.68
Ax: 0.70 | Ay: -0.03 | Az: 0.67
Ax: 0.69 | Ay: -0.04 | Az: 0.69
Ax: 0.71 | Ay: -0.02 | Az: 0.68
Ax: 0.71 | Ay: -0.03 | Az: 0.68
Ax: 0.68 | Ay: -0.04 | Az: 0.69
Ax: 0.70 | Ay: -0.06 | Az: 0.66
Ax: 0.69 | Ay: -0.08 | Az: 0.68
Ax: 0.69 | Ay: -0.04 | Az: 0.69

50° em x
Ax: 0.75 | Ay: 0.00 | Az: 0.62
Ax: 0.76 | Ay: -0.01 | Az: 0.62
Ax: 0.76 | Ay: 0.00 | Az: 0.62
Ax: 0.76 | Ay: 0.01 | Az: 0.62
Ax: 0.75 | Ay: -0.00 | Az: 0.63
Ax: 0.76 | Ay: -0.00 | Az: 0.62
Ax: 0.76 | Ay: 0.00 | Az: 0.62
Ax: 0.75 | Ay: 0.01 | Az: 0.63
Ax: 0.76 | Ay: 0.00 | Az: 0.63
Ax: 0.76 | Ay: 0.01 | Az: 0.63
Ax: 0.75 | Ay: 0.00 | Az: 0.62
Ax: 0.75 | Ay: -0.00 | Az: 0.63
Ax: 0.76 | Ay: 0.00 | Az: 0.62
Ax: 0.76 | Ay: 0.00 | Az: 0.63
Ax: 0.76 | Ay: 0.00 | Az: 0.62

Ângulo 60° em x
Ax: 0.85 | Ay: -0.02 | Az: 0.51
Ax: 0.86 | Ay: -0.03 | Az: 0.49
Ax: 0.85 | Ay: -0.03 | Az: 0.50
Ax: 0.85 | Ay: -0.02 | Az: 0.50
Ax: 0.86 | Ay: -0.02 | Az: 0.50
Ax: 0.86 | Ay: -0.03 | Az: 0.49
Ax: 0.86 | Ay: -0.03 | Az: 0.49
Ax: 0.85 | Ay: -0.02 | Az: 0.50
Ax: 0.85 | Ay: -0.02 | Az: 0.50
Ax: 0.86 | Ay: -0.02 | Az: 0.50
Ax: 0.85 | Ay: -0.03 | Az: 0.51
Ax: 0.86 | Ay: -0.02 | Az: 0.50
Ax: 0.86 | Ay: 0.02 | Az: 0.51
Ax: 0.86 | Ay: -0.03 | Az: 0.50
Ax: 0.86 | Ay: -0.03 | Az: 0.51
Ax: 0.86 | Ay: -0.03 | Az: 0.51
Ax: 0.86 | Ay: -0.02 | Az: 0.50
Ax: 0.85 | Ay: -0.02 | Az: 0.51
Ax: 0.86 | Ay: -0.03 | Az: 0.50
Ax: 0.85 | Ay: -0.03 | Az: 0.50
Ax: 0.86 | Ay: -0.02 | Az: 0.49
Ax: 0.86 | Ay: -0.02 | Az: 0.50
Ax: 0.85 | Ay: -0.03 | Az: 0.50
Ax: 0.86 | Ay: -0.02 | Az: 0.50
Ax: 0.86 | Ay: -0.03 | Az: 0.51
Ax: 0.86 | Ay: -0.03 | Az: 0.50
Ax: 0.86 | Ay: -0.02 | Az: 0.50
Ax: 0.86 | Ay: -0.02 | Az: 0.50
Ax: 0.86 | Ay: -0.02 | Az: 0.50
Ax: 0.86 | Ay: -0.03 | Az: 0.50
Ax: 0.86 | Ay: -0.03 | Az: 0.51
Ax: 0.86 | Ay: -0.02 | Az: 0.49
Ax: 0.85 | Ay: -0.03 | Az: 0.50
Ax: 0.85 | Ay: -0.03 | Az: 0.50

70° em x
Ax: 0.96 | Ay: -0.01 | Az: 0.31
Ax: 0.96 | Ay: 0.00 | Az: 0.31
Ax: 0.96 | Ay: -0.01 | Az: 0.31
Ax: 0.96 | Ay: -0.00 | Az: 0.29
Ax: 0.96 | Ay: -0.01 | Az: 0.29
Ax: 0.96 | Ay: 0.00 | Az: 0.31
Ax: 0.96 | Ay: -0.01 | Az: 0.31
Ax: 0.96 | Ay: 0.01 | Az: 0.29
Ax: 0.96 | Ay: -0.00 | Az: 0.31
Ax: 0.97 | Ay: -0.00 | Az: 0.29
Ax: 0.96 | Ay: -0.00 | Az: 0.30
Ax: 0.96 | Ay: 0.00 | Az: 0.30
Ax: 0.96 | Ay: -0.01 | Az: 0.30
Ax: 0.96 | Ay: -0.01 | Az: 0.30

80° em x
Ax: 1.00 | Ay: -0.00 | Az: 0.12
Ax: 1.00 | Ay: 0.01 | Az: 0.15
Ax: 1.01 | Ay: -0.02 | Az: 0.17
Ax: 1.02 | Ay: -0.01 | Az: 0.12
Ax: 1.02 | Ay: -0.00 | Az: 0.14
Ax: 1.01 | Ay: -0.01 | Az: 0.16
Ax: 1.01 | Ay: -0.01 | Az: 0.13
Ax: 1.02 | Ay: -0.02 | Az: 0.14
Ax: 1.00 | Ay: 0.01 | Az: 0.14
Ax: 1.01 | Ay: -0.01 | Az: 0.15

Ângulo de 90° em x
Ax: 1.04 | Ay: -0.01 | Az: -0.14
Ax: 1.03 | Ay: -0.02 | Az: -0.11
Ax: 1.04 | Ay: -0.01 | Az: -0.11
Ax: 1.03 | Ay: -0.00 | Az: -0.12
Ax: 1.03 | Ay: -0.02 | Az: -0.10
Ax: 1.03 | Ay: -0.01 | Az: -0.12
Ax: 1.04 | Ay: -0.02 | Az: -0.15
Ax: 1.04 | Ay: 0.00 | Az: -0.09
Ax: 1.04 | Ay: -0.01 | Az: -0.12
