0°
Ax: 0.07 | Ay: 0.98 | Az: -0.07
Ax: 0.07 | Ay: 0.99 | Az: -0.07
Ax: 0.07 | Ay: 0.99 | Az: -0.07
Ax: 0.08 | Ay: 0.99 | Az: -0.07
Ax: 0.07 | Ay: 0.98 | Az: -0.08
Ax: 0.07 | Ay: 0.99 | Az: -0.06
Ax: 0.07 | Ay: 0.98 | Az: -0.07
Ax: 0.07 | Ay: 0.98 | Az: -0.07
Ax: 0.08 | Ay: 0.99 | Az: -0.07
Ax: 0.07 | Ay: 0.99 | Az: -0.08

10° em x
Ax: 0.21 | Ay: 0.03 | Az: 0.97
Ax: 0.22 | Ay: 0.04 | Az: 0.97
Ax: 0.22 | Ay: 0.03 | Az: 0.96
Ax: 0.22 | Ay: 0.05 | Az: 0.97
Ax: 0.22 | Ay: 0.05 | Az: 0.97
Ax: 0.22 | Ay: 0.04 | Az: 0.97
Ax: 0.22 | Ay: 0.04 | Az: 0.97
Ax: 0.22 | Ay: 0.04 | Az: 0.97
Ax: 0.22 | Ay: 0.04 | Az: 0.96
Ax: 0.21 | Ay: 0.04 | Az: 0.97
Ax: 0.22 | Ay: 0.04 | Az: 0.97
Ax: 0.21 | Ay: 0.04 | Az: 0.97
Ax: 0.22 | Ay: 0.04 | Az: 0.97
Ax: 0.23 | Ay: 0.04 | Az: 0.97
Ax: 0.22 | Ay: 0.04 | Az: 0.97

20° em x
Ax: 0.37 | Ay: 0.02 | Az: 0.94
Ax: 0.38 | Ay: 0.03 | Az: 0.94
Ax: 0.38 | Ay: 0.03 | Az: 0.92
Ax: 0.38 | Ay: 0.04 | Az: 0.93
Ax: 0.37 | Ay: 0.03 | Az: 0.93
Ax: 0.38 | Ay: 0.05 | Az: 0.93
Ax: 0.37 | Ay: 0.03 | Az: 0.94
Ax: 0.38 | Ay: 0.02 | Az: 0.91
Ax: 0.37 | Ay: 0.03 | Az: 0.93
Ax: 0.37 | Ay: 0.03 | Az: 0.95
Ax: 0.37 | Ay: 0.04 | Az: 0.92
Ax: 0.37 | Ay: 0.04 | Az: 0.93
Ax: 0.38 | Ay: 0.05 | Az: 0.93
Ax: 0.42 | Ay: 0.08 | Az: 0.90

30° em x
Ax: 0.50 | Ay: 0.03 | Az: 0.87
Ax: 0.50 | Ay: 0.04 | Az: 0.87
Ax: 0.50 | Ay: 0.04 | Az: 0.88
Ax: 0.50 | Ay: 0.04 | Az: 0.86
Ax: 0.50 | Ay: 0.04 | Az: 0.87
Ax: 0.50 | Ay: 0.03 | Az: 0.88
Ax: 0.50 | Ay: 0.04 | Az: 0.86
Ax: 0.50 | Ay: 0.04 | Az: 0.87
Ax: 0.50 | Ay: 0.04 | Az: 0.88
Ax: 0.50 | Ay: 0.04 | Az: 0.85
Ax: 0.51 | Ay: 0.03 | Az: 0.86
Ax: 0.51 | Ay: 0.04 | Az: 0.87
Ax: 0.50 | Ay: 0.03 | Az: 0.87
Ax: 0.50 | Ay: 0.04 | Az: 0.86

40° em x
Ax: 0.63 | Ay: 0.05 | Az: 0.77
Ax: 0.64 | Ay: 0.04 | Az: 0.77
Ax: 0.64 | Ay: 0.04 | Az: 0.77
Ax: 0.64 | Ay: 0.04 | Az: 0.78
Ax: 0.64 | Ay: 0.03 | Az: 0.77
Ax: 0.64 | Ay: 0.04 | Az: 0.77
Ax: 0.63 | Ay: 0.04 | Az: 0.78
Ax: 0.64 | Ay: 0.04 | Az: 0.77
Ax: 0.64 | Ay: 0.05 | Az: 0.77
Ax: 0.63 | Ay: 0.04 | Az: 0.77
Ax: 0.64 | Ay: 0.04 | Az: 0.76
Ax: 0.64 | Ay: 0.05 | Az: 0.78
Ax: 0.65 | Ay: 0.04 | Az: 0.75
Ax: 0.64 | Ay: 0.04 | Az: 0.77
Ax: 0.64 | Ay: 0.04 | Az: 0.78

45° em x
Ax: 0.71 | Ay: 0.05 | Az: 0.70
Ax: 0.72 | Ay: 0.04 | Az: 0.71
Ax: 0.72 | Ay: 0.04 | Az: 0.69
Ax: 0.71 | Ay: 0.04 | Az: 0.70
Ax: 0.71 | Ay: 0.04 | Az: 0.70
Ax: 0.71 | Ay: 0.04 | Az: 0.71
Ax: 0.72 | Ay: 0.05 | Az: 0.70
Ax: 0.71 | Ay: 0.04 | Az: 0.71
Ax: 0.71 | Ay: 0.04 | Az: 0.70
Ax: 0.71 | Ay: 0.06 | Az: 0.70
Ax: 0.71 | Ay: 0.04 | Az: 0.71
Ax: 0.71 | Ay: 0.04 | Az: 0.71
Ax: 0.72 | Ay: 0.05 | Az: 0.69
Ax: 0.71 | Ay: 0.05 | Az: 0.69

50° em x
Ax: 0.72 | Ay: 0.04 | Az: 0.70
Ax: 0.72 | Ay: 0.04 | Az: 0.69
Ax: 0.72 | Ay: 0.04 | Az: 0.70
Ax: 0.72 | Ay: 0.04 | Az: 0.69
Ax: 0.72 | Ay: 0.05 | Az: 0.70
Ax: 0.72 | Ay: 0.04 | Az: 0.71
Ax: 0.72 | Ay: 0.04 | Az: 0.70
Ax: 0.72 | Ay: 0.06 | Az: 0.68
Ax: 0.72 | Ay: 0.04 | Az: 0.70
Ax: 0.72 | Ay: 0.03 | Az: 0.70
Ax: 0.72 | Ay: 0.04 | Az: 0.69
Ax: 0.72 | Ay: 0.03 | Az: 0.70
Ax: 0.72 | Ay: 0.05 | Az: 0.69
Ax: 0.71 | Ay: 0.04 | Az: 0.71

60° em x
Ax: 0.82 | Ay: 0.04 | Az: 0.56
Ax: 0.82 | Ay: 0.04 | Az: 0.56
Ax: 0.83 | Ay: 0.04 | Az: 0.56
Ax: 0.83 | Ay: 0.04 | Az: 0.56
Ax: 0.82 | Ay: 0.03 | Az: 0.58
Ax: 0.83 | Ay: 0.04 | Az: 0.55
Ax: 0.83 | Ay: 0.04 | Az: 0.57
Ax: 0.83 | Ay: 0.05 | Az: 0.57
Ax: 0.82 | Ay: 0.04 | Az: 0.58
Ax: 0.81 | Ay: 0.03 | Az: 0.55
Ax: 0.82 | Ay: 0.04 | Az: 0.56
Ax: 0.81 | Ay: 0.04 | Az: 0.57
Ax: 0.82 | Ay: 0.03 | Az: 0.57
Ax: 0.82 | Ay: 0.04 | Az: 0.57
Ax: 0.82 | Ay: 0.04 | Az: 0.56

70° em x
Ax: 0.94 | Ay: 0.04 | Az: 0.31
Ax: 0.95 | Ay: 0.04 | Az: 0.31
Ax: 0.94 | Ay: 0.05 | Az: 0.31
Ax: 0.94 | Ay: 0.04 | Az: 0.31
Ax: 0.96 | Ay: 0.04 | Az: 0.30
Ax: 0.95 | Ay: 0.04 | Az: 0.31
Ax: 0.95 | Ay: 0.04 | Az: 0.30
Ax: 0.95 | Ay: 0.03 | Az: 0.32
Ax: 0.96 | Ay: 0.04 | Az: 0.29
Ax: 0.95 | Ay: 0.03 | Az: 0.31
Ax: 0.95 | Ay: 0.05 | Az: 0.31
Ax: 0.94 | Ay: 0.04 | Az: 0.32
Ax: 0.95 | Ay: 0.02 | Az: 0.31
Ax: 0.94 | Ay: 0.04 | Az: 0.31
Ax: 0.95 | Ay: 0.04 | Az: 0.30

80° em x
Ax: 0.98 | Ay: 0.05 | Az: 0.19
Ax: 0.97 | Ay: 0.04 | Az: 0.21
Ax: 0.98 | Ay: 0.05 | Az: 0.20
Ax: 0.97 | Ay: 0.03 | Az: 0.21
Ax: 0.97 | Ay: 0.05 | Az: 0.21
Ax: 0.98 | Ay: 0.05 | Az: 0.21
Ax: 0.98 | Ay: 0.04 | Az: 0.20
Ax: 0.98 | Ay: 0.03 | Az: 0.20
Ax: 0.98 | Ay: 0.04 | Az: 0.20
Ax: 0.98 | Ay: 0.03 | Az: 0.21
Ax: 0.98 | Ay: 0.05 | Az: 0.20
Ax: 0.97 | Ay: 0.03 | Az: 0.22
Ax: 0.97 | Ay: 0.04 | Az: 0.21
Ax: 0.98 | Ay: 0.04 | Az: 0.20
Ax: 0.97 | Ay: 0.05 | Az: 0.20

90° em x
Ax: 1.00 | Ay: 0.02 | Az: 0.07
Ax: 0.99 | Ay: 0.03 | Az: 0.05
Ax: 1.00 | Ay: 0.03 | Az: 0.06
Ax: 1.00 | Ay: 0.04 | Az: 0.05
Ax: 1.00 | Ay: 0.03 | Az: 0.03
Ax: 1.00 | Ay: 0.02 | Az: 0.05
Ax: 1.00 | Ay: 0.03 | Az: 0.05
Ax: 1.00 | Ay: 0.04 | Az: 0.04
Ax: 1.00 | Ay: 0.03 | Az: 0.06
Ax: 1.00 | Ay: 0.03 | Az: 0.04
Ax: 1.00 | Ay: 0.04 | Az: 0.04
Ax: 1.00 | Ay: 0.03 | Az: 0.06
Ax: 0.99 | Ay: 0.04 | Az: 0.06
Ax: 1.00 | Ay: 0.03 | Az: 0.04
Ax: 1.00 | Ay: 0.02 | Az: 0.06
